experiment,description,parameters,test_loss,test_accuracy,best_val_accuracy,epochs_ran,training_time_sec
exp1_more_filters,Increase number of filters: 64 and 128,1125642,0.9330424070358276,0.6956999897956848,0.7020999789237976,11,402.4921772480011
exp3_dropout,Add Dropout to reduce overfitting,545098,0.8733012676239014,0.6935999989509583,0.6996999979019165,12,195.90507864952087
baseline,Base CNN with ReLU,545098,0.9271320104598999,0.6843000054359436,0.6898999810218811,10,141.76104354858398
exp4_batchnorm,Add Batch Normalization,545994,1.23036789894104,0.5906999707221985,0.6215999722480774,6,230.8956995010376
exp2_sigmoid,Replace ReLU with Sigmoid,545098,1.406083106994629,0.4961000084877014,0.4934999942779541,12,212.46784925460815
